request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_179,37957250.0,affordable_with_plan,installments,2025-05-04:10412000|2025-06-03:10412000|2025-07-03:10412000|2025-08-02:10412000,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Full payment of INR 66,500.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_181,1491.0,affordable_with_plan,installments,2024-03-03:1264.8|2024-04-02:1264.8|2024-05-02:1264.8|2024-06-01:1264.8,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Full payment of ZAR 65,714.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_183,26866000.0,affordable_now,full_payment,2026-04-07:26866000,2026-04-07,none,"Full payment of IDR 26,866,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_184,47540.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 251,900.00 without breaching minimum safety balance."
request_185,783.4,affordable_with_plan,installments,2025-11-06:251.46|2025-12-06:251.46|2026-01-05:251.46|2026-02-04:251.46|2026-03-06:251.46,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_186,22863.5,affordable_with_plan,installments,2026-01-03:6638.5|2026-02-02:6638.5|2026-03-04:6638.5|2026-04-03:6638.5,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_187,67435.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 187,500.00 without breaching minimum safety balance."
request_188,585.3,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 2,464.00 without breaching minimum safety balance."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Full payment of EUR 488.40 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_190,1555.8,affordable_with_plan,installments,2024-12-06:1278.75|2025-01-05:1278.75,2024-12-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Full payment of EUR 664.40 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_192,384.8,affordable_with_plan,installments,2026-04-05:341|2026-05-05:341|2026-06-04:341|2026-07-04:341|2026-08-03:341|2026-09-02:341,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_193,310.62,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 1,212.20 without breaching minimum safety balance."
request_194,95030.0,affordable_with_plan,installments,2025-08-04:26560|2025-09-03:26560|2025-10-03:26560|2025-11-02:26560|2025-12-02:26560,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_195,1170.4,affordable_now,full_payment,2026-01-06:1170.4,2026-01-06,none,"Full payment of EUR 1,170.40 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Full payment of EUR 762.30 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_197,50939000.0,affordable_now,full_payment,2025-11-05:50939000,2025-11-05,none,"Full payment of IDR 50,939,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Full payment of INR 185,800.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_199,23674000.0,affordable_now,full_payment,2024-09-04:23674000,2024-09-04,none,"Full payment of IDR 23,674,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Full payment of IDR 21,717,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Full payment of IDR 23,997,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Full payment of INR 123,900.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,"Full payment of EUR 1,442.10 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Full payment of EUR 588.74 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Full payment of IDR 10,621,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.7,2025-08-03,none,"Full payment of EUR 1,404.70 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,"Full payment of ZAR 11,830.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Full payment of IDR 4,413,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_209,8625.1,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 56,914.00 without breaching minimum safety balance."
request_210,1360.02,affordable_now,full_payment,2026-04-06:1360.02,2026-04-06,none,"Full payment of USD 1,360.02 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_211,1227.89,affordable_with_plan,installments,2024-09-03:894.3|2024-10-03:894.3,2024-09-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_212,22344000.0,affordable_with_plan,installments,2025-02-05:7193400|2025-03-07:7193400|2025-04-06:7193400|2025-05-06:7193400|2025-06-05:7193400|2025-07-05:7193400|2025-08-04:7193400|2025-09-03:7193400|2025-10-03:7193400|2025-11-02:7193400,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 10 installments maintains required minimum balance.
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.4,2026-01-07,none,"Full payment of USD 3,362.40 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_214,69750.0,affordable_now,full_payment,2024-12-04:69750,2024-12-04,none,"Full payment of INR 69,750.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_215,29986.0,affordable_now,full_payment,2025-05-06:29986,2025-05-06,none,"Full payment of ZAR 29,986.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_216,1166.8,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 3,332.40 without breaching minimum safety balance."
request_217,31601.97,affordable_with_plan,installments,2024-03-05:18590|2024-04-04:18590,2024-03-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:30571000|2025-09-06:30571000,2025-08-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_219,1673.1,affordable_now,full_payment,2026-04-04:1673.1,2026-04-04,none,"Full payment of EUR 1,673.10 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_220,387.32,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 3,118.50 without breaching minimum safety balance."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Full payment of INR 109,800.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Full payment of ZAR 34,078.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Full payment of EUR 898.70 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_224,10327000.0,affordable_now,full_payment,2025-02-04:10327000,2025-02-04,none,"Full payment of IDR 10,327,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_225,18120459.6,affordable_with_plan,installments,2026-07-06:5514750|2026-08-05:5514750|2026-09-04:5514750|2026-10-04:5514750,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Full payment of INR 157,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_227,42755.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 259,700.00 without breaching minimum safety balance."
request_228,10557350.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 63,327,000.00 without breaching minimum safety balance."
request_229,873.52,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 1,526.80 without breaching minimum safety balance."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Full payment of EUR 3,537.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_231,35706.0,affordable_now,full_payment,2026-01-03:35706,2026-01-03,none,"Full payment of ZAR 35,706.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_232,1869.4,affordable_with_plan,installments,2024-06-05:492.52|2024-07-05:492.52|2024-08-04:492.52|2024-09-03:492.52,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_233,6241000.0,affordable_now,full_payment,2025-11-07:6241000,2025-11-07,none,"Full payment of IDR 6,241,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_234,574.25,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 1,213.30 without breaching minimum safety balance."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Full payment of USD 967.20 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_236,14404850.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 52,383,000.00 without breaching minimum safety balance."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Full payment of IDR 23,826,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_238,663.6,affordable_now,full_payment,2024-12-07:663.6,2024-12-07,none,Full payment of USD 663.60 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Full payment of USD 642.00 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_240,39920.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 101,200.00 without breaching minimum safety balance."
request_241,21052000.0,affordable_now,full_payment,2024-03-03:21052000,2024-03-03,none,"Full payment of IDR 21,052,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_242,437.4,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 1,966.80 without breaching minimum safety balance."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Full payment of ZAR 17,468.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Full payment of ZAR 49,918.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_245,65760.0,affordable_with_plan,installments,2025-11-06:21416.67|2025-12-06:21416.67|2026-01-05:21416.67|2026-02-04:21416.67|2026-03-06:21416.67|2026-04-05:21416.67,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_246,64086.0,affordable_now,full_payment,2026-04-03:64086,2026-04-03,none,"Full payment of ZAR 64,086.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Full payment of EUR 1,059.30 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_248,1507.36,affordable_with_plan,installments,2025-02-07:491.4|2025-03-09:491.4|2025-04-08:491.4|2025-05-08:491.4,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_249,342.4,affordable_with_plan,installments,2026-01-04:107.2|2026-02-03:107.2|2026-03-05:107.2|2026-04-04:107.2|2026-05-04:107.2|2026-06-03:107.2,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_250,28820.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 124,278.00 without breaching minimum safety balance."
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.6,2025-05-03,none,"Full payment of EUR 1,513.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_252,10098500.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 28,082,000.00 without breaching minimum safety balance."
request_253,2527.57,affordable_with_plan,installments,2024-03-07:710.05|2024-04-06:710.05|2024-05-06:710.05|2024-06-05:710.05,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_254,1759.6,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 3,535.20 without breaching minimum safety balance."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Full payment of IDR 3,345,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_256,218700.0,affordable_now,full_payment,2024-06-03:218700,2024-06-03,none,"Full payment of INR 218,700.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_257,1085.2,affordable_with_plan,installments,2025-11-05:676.2|2025-12-05:676.2,2025-11-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Full payment of USD 1,113.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_259,711.3,affordable_with_plan,installments,2024-09-04:233.75|2024-10-04:233.75|2024-11-03:233.75|2024-12-03:233.75,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_260,15059400.0,affordable_with_plan,installments,2025-02-06:13019750|2025-03-08:13019750|2025-04-07:13019750|2025-05-07:13019750,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Full payment of EUR 1,830.40 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Full payment of IDR 9,236,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_263,14718.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 51,546.00 without breaching minimum safety balance."
request_264,39795.0,affordable_with_plan,installments,2026-04-04:12366.67|2026-05-04:12366.67|2026-06-03:12366.67|2026-07-03:12366.67|2026-08-02:12366.67|2026-09-01:12366.67|2026-10-01:12366.67|2026-10-31:12366.67|2026-11-30:12366.67,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 9 installments maintains required minimum balance.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Full payment of INR 45,970.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_266,935.0,affordable_now,full_payment,2025-08-03:935,2025-08-03,none,Full payment of EUR 935.00 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_267,1925.0,affordable_now,full_payment,2026-01-05:1925,2026-01-05,none,"Full payment of EUR 1,925.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_268,1512.52,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 2,426.60 without breaching minimum safety balance."
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,"Full payment of ZAR 15,490.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_270,535.4,affordable_with_plan,installments,2026-07-06:504.8|2026-08-05:504.8|2026-09-04:504.8|2026-10-04:504.8|2026-11-03:504.8|2026-12-03:504.8,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_271,84760.0,affordable_with_plan,installments,2024-09-03:22825|2024-10-03:22825|2024-11-02:22825|2024-12-02:22825,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_272,8815924.0,affordable_with_plan,installments,2025-02-05:2717000|2025-03-07:2717000|2025-04-06:2717000|2025-05-06:2717000|2025-06-05:2717000,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_273,13372200.0,affordable_with_plan,installments,2026-04-07:3965250|2026-05-07:3965250|2026-06-06:3965250|2026-07-06:3965250,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_274,2713.7,affordable_now,full_payment,2024-12-04:2713.7,2024-12-04,none,"Full payment of EUR 2,713.70 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Full payment of IDR 15,884,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
